 全局 ,, 通用 ,, POI ,, 交通 ,, 更多 ,, 帐户 ,, 发现 ,, 软件生命周期 ,FA, 酒店 ,
 物理回退键 , ZA ,标题栏左上角按钮,ZA, 搜索首页 ,AA,交通模块共有操作,, 更多首页 , CA ,帐户模块共有操作,,发现模块共有操作,, 软件启动 , BA-当前软件版本号 , 酒店查询主页 , GA 
 对话框 , ZB ,标题栏右上角按钮,ZB, 点击切换城市 ,BA-当前城市,切换到公交tab,AA, 点击点评引导banner , BA , 点击登录按钮 , AA , 点击分店 , AA , 软件退出 , BB , 点击城市 , BA 
 点击menu中搜索 , ZC ,筛选浮动窗口,ZC, 点击搜索文本框 ,BB,切换到驾车tab,AB, 点击注册/登录 , BB , 点击注册按钮 , AB , 点击电影今天 , AB , Resume , BC , 点击位置 , BB 
 点击menu中发现 , ZD ,点击筛选列表的父项,ZCBA-下标-父选项名称, 点击分类标签 ,BC-分类名称,切换到步行tab,AC, 点击切换城市 , BC , 点击忘记密码按钮 , AC , 点击电影明天 , AC , Pause , BD , 点击日期 , BC 
 点击menu中交通 , ZE ,点击筛选列表的子项,ZCBB-下标-子选项名称,点击子分类,BD-分类名称,切换到线路tab,AD, 点击下载地图 , BD , 点击获取验证码按钮 , AD , 点击电影后天 , AD , Stop , BE , 点击价格星级 , BD 
 点击menu中更多 , ZF ,标题栏浮动窗口,ZD,滑动打开子分类,BE-分类名称,点击查询按钮(公交),"AE-(1表示步行,2表示换乘,3表示自驾)-起点-终点", 点击应用推荐 , BE , 点击确认按钮 , AE , 发现首页 , DA , 所选城市 , BF-城市名 , 点击查询 , BE 
 网络操作 , ZG-服务类型-请求时间截-响应时间截-接收数据完成时间截-异常信息-网络状态-电话信号量-连接网络类型-是否主动取消-uuid-请求数据大小-返回数据大小 ,点击标题栏浮动窗口的某项,ZDZG-下标,单击打开子分类,BF-分类名称,点击查询按钮(线路),AF-关键字, 点击收藏夹 , BF , 登录页 , EA , 滑动图片 , (true表示向左滑动，false表示向右滑动) , 用户已登录 , BG , 点击已订酒店 , BF 
 响应结果 , ZH-服务类型-响应码-描述 ,某界面关闭,ZE,滑动关闭子分类,BG-分类名称,点击起点输入框,AG, 点击最近浏览 , BG , 注册页 , EB , 点击某子频道 ," BA-(2,团购;4,电影;13,演出;14,展览) ", 第一次定位成功 , BH ,选择位置,GB
,,ViewPage左右滑动切换,ZF,单击关闭子分类,BH-分类名称,点击终点输入框,AH, 点击系统设置 , BH , 个人中心页 , EC , 团购结果列表页 , DB , 来自微信WEB启动 , BI , 点击输入框 ,  BA 
,,点击列表普通项,ZG-下标,按物理返回键关闭子分类,BI-分类名称,点击路入输入框,AI, 点击意见反馈 , BI , 点击我的点评按钮 , BA , 点击订单按钮 , BA , 来自微信附件启动 , BJ , 点击查询 , BB 
,,点击列表历史词项,ZH-下标-历史词, 搜索词输入页 ,AB,点击起点按钮,AJ, 点击帮助 , BJ , 点击更换手机号按钮 , BB , 订单查询页 , DC ,地图,FB, 弹出备选对话框 , BC 
,,点击列表联想词项,ZI-下标-联想词, 点击搜索按钮 ,BA-搜索词,点击终点按钮,AK, 点击关于我们 , BK , 点击修改昵称按钮 , BC , 团购列表地图页 , DD ,点击定位按钮,"BA-(0，表示当前没有定位信息 ；1,表示当前是正常模式， 2，当前为导航模式；3，表示当前为转动模式)", 选择备选点 , BD-下标-名字 
